ID,Predicted Value
1,orange
2,banana
3,cotton
4,maize
5,orange
6,chickpea
7,rice
8,blackgram
9,banana
10,orange
11,watermelon
12,pomegranate
13,watermelon
14,maize
15,mothbeans
16,grapes
17,grapes
18,mango
19,mango
20,apple
21,blackgram
22,apple
23,mothbeans
24,kidneybeans
25,apple
26,jute
27,mothbeans
28,watermelon
29,rice
30,coffee
31,mango
32,jute
33,banana
34,coffee
35,jute
36,blackgram
37,grapes
38,grapes
39,blackgram
40,jute
41,coconut
42,papaya
43,mango
44,maize
45,lentil
46,jute
47,cotton
48,lentil
49,chickpea
50,mungbean
51,papaya
52,pomegranate
53,pigeonpeas
54,watermelon
55,mango
56,blackgram
57,papaya
58,papaya
59,coffee
60,lentil
61,lentil
62,mothbeans
63,coffee
64,banana
65,papaya
66,rice
67,orange
68,coconut
69,blackgram
70,pomegranate
71,banana
72,muskmelon
73,watermelon
74,lentil
75,banana
76,coconut
77,mothbeans
78,mungbean
79,mungbean
80,mango
81,coffee
82,watermelon
83,muskmelon
84,kidneybeans
85,mango
86,pomegranate
87,orange
88,cotton
89,coconut
90,papaya
91,mothbeans
92,mungbean
93,mothbeans
94,cotton
95,jute
96,grapes
97,cotton
98,chickpea
99,jute
100,watermelon
101,muskmelon
102,pomegranate
103,orange
104,pigeonpeas
105,pigeonpeas
106,grapes
107,kidneybeans
108,lentil
109,rice
110,rice
111,apple
112,mungbean
113,mungbean
114,grapes
115,rice
116,muskmelon
117,blackgram
118,lentil
119,banana
120,orange
121,orange
122,chickpea
123,maize
124,mango
125,maize
126,lentil
127,banana
128,pomegranate
129,coconut
130,mungbean
131,cotton
132,chickpea
133,jute
134,mungbean
135,mothbeans
136,maize
137,apple
138,chickpea
139,rice
140,maize
141,cotton
142,jute
143,pomegranate
144,mango
145,rice
146,papaya
147,banana
148,orange
149,pigeonpeas
150,lentil
151,maize
152,chickpea
153,cotton
154,watermelon
155,mothbeans
156,maize
157,pigeonpeas
158,muskmelon
159,apple
160,mungbean
161,blackgram
162,chickpea
163,maize
164,maize
165,kidneybeans
166,coffee
167,orange
168,maize
169,grapes
170,pomegranate
171,apple
172,coconut
173,muskmelon
174,grapes
175,cotton
176,lentil
177,pigeonpeas
178,chickpea
179,blackgram
180,mothbeans
181,apple
182,muskmelon
183,cotton
184,watermelon
185,muskmelon
186,watermelon
187,orange
188,watermelon
189,coffee
190,kidneybeans
191,apple
192,chickpea
193,blackgram
194,coffee
195,muskmelon
196,coffee
197,apple
198,grapes
199,jute
200,papaya
201,coconut
202,grapes
203,watermelon
204,mungbean
205,pomegranate
206,pigeonpeas
207,mungbean
208,mothbeans
209,papaya
210,muskmelon
211,chickpea
212,apple
213,maize
214,chickpea
215,banana
216,pomegranate
217,pomegranate
218,maize
219,orange
220,jute
221,cotton
222,cotton
223,maize
224,grapes
225,mungbean
226,lentil
227,pigeonpeas
228,papaya
229,mungbean
230,apple
231,banana
232,jute
233,chickpea
234,maize
235,rice
236,orange
237,blackgram
238,coconut
239,rice
240,grapes
241,kidneybeans
242,cotton
243,mungbean
244,mungbean
245,coconut
246,apple
247,lentil
248,papaya
249,pomegranate
250,chickpea
251,kidneybeans
252,kidneybeans
253,pigeonpeas
254,jute
255,muskmelon
256,pomegranate
257,blackgram
258,chickpea
259,muskmelon
260,mango
261,chickpea
262,watermelon
263,chickpea
264,pomegranate
265,mango
266,mothbeans
267,cotton
268,jute
269,apple
270,kidneybeans
271,coconut
272,papaya
273,coffee
274,kidneybeans
275,coconut
276,coconut
277,blackgram
278,lentil
279,kidneybeans
280,mungbean
281,coffee
282,cotton
283,grapes
284,coffee
285,blackgram
286,mothbeans
287,lentil
288,watermelon
289,pomegranate
290,apple
291,orange
292,mango
293,jute
294,banana
295,lentil
296,mungbean
297,blackgram
298,mothbeans
299,watermelon
300,pigeonpeas
301,lentil
302,banana
303,apple
304,banana
305,watermelon
306,blackgram
307,kidneybeans
308,rice
309,papaya
310,banana
311,kidneybeans
312,banana
313,muskmelon
314,muskmelon
315,orange
316,maize
317,banana
318,pigeonpeas
319,jute
320,apple
321,lentil
322,muskmelon
323,coconut
324,papaya
325,jute
326,cotton
327,orange
328,orange
329,blackgram
330,pigeonpeas
331,mango
332,muskmelon
333,jute
334,muskmelon
335,papaya
336,mango
337,chickpea
338,pigeonpeas
339,pomegranate
340,watermelon
341,rice
342,mungbean
343,watermelon
344,apple
345,jute
346,banana
347,jute
348,kidneybeans
349,pigeonpeas
350,mungbean
351,mothbeans
352,kidneybeans
353,mothbeans
354,rice
355,blackgram
356,coffee
357,coffee
358,grapes
359,pomegranate
360,pomegranate
361,pigeonpeas
362,pomegranate
363,mango
364,coconut
365,pigeonpeas
366,mothbeans
367,cotton
368,cotton
369,banana
370,jute
371,watermelon
372,muskmelon
373,kidneybeans
374,kidneybeans
375,coffee
376,pigeonpeas
377,mungbean
378,chickpea
379,jute
380,grapes
381,muskmelon
382,cotton
383,mango
384,kidneybeans
385,chickpea
386,cotton
387,maize
388,papaya
389,mothbeans
390,kidneybeans
391,pigeonpeas
392,pomegranate
393,coffee
394,blackgram
395,lentil
396,muskmelon
397,lentil
398,papaya
399,rice
400,pigeonpeas
401,grapes
402,blackgram
403,mango
404,coffee
405,orange
406,coconut
407,rice
408,kidneybeans
409,papaya
410,coffee
411,watermelon
412,mothbeans
413,apple
414,lentil
415,papaya
416,coconut
417,papaya
418,coffee
419,coconut
420,jute
421,coconut
422,coffee
423,rice
424,orange
425,mango
426,orange
427,coconut
428,coconut
429,grapes
430,cotton
431,banana
432,grapes
433,mango
434,mango
435,mothbeans
436,cotton
437,apple
438,jute
439,grapes
440,pigeonpeas
